REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWASKENXX01,30
GLOBAL,PWRBIOKENXX01,45
GLOBAL,PWRURNKENXX01,60
GLOBAL,PWRWONKENXX01,30
GLOBAL,PWRCSPKENXX01,30
GLOBAL,PWRHYDKENXX01,100
GLOBAL,PWROCGKENXX01,30
GLOBAL,PWRGEOKENXX01,30
GLOBAL,PWRCCGKENXX00,30
GLOBAL,PWRPETKENXX01,30
GLOBAL,PWRCOGKENXX01,30
GLOBAL,PWRWOFKENXX01,30
GLOBAL,PWROCGKENXX00,30
GLOBAL,PWROTHKENXX01,30
GLOBAL,PWRCOAKENXX01,30
GLOBAL,PWROILKENXX01,30
GLOBAL,PWRSPVKENXX01,30
GLOBAL,PWRCCGKENXX01,30
GLOBAL,PWRWAVKENXX01,20
GLOBAL,LNDMZEHRTOT,10
GLOBAL,LNDMZEHITOT,10
GLOBAL,LNDMZELRTOT,10
GLOBAL,LNDSORHRTOT,10
GLOBAL,LNDSORHITOT,10
GLOBAL,LNDSORLRTOT,10
GLOBAL,LNDCOWHRTOT,10
GLOBAL,LNDCOWHITOT,10
GLOBAL,LNDCOWLRTOT,10
GLOBAL,LNDTEAHRTOT,10
GLOBAL,LNDTEAHITOT,10
GLOBAL,LNDTEALRTOT,10
GLOBAL,LNDBEAHRTOT,10
GLOBAL,LNDBEAHITOT,10
GLOBAL,LNDBEALRTOT,10
GLOBAL,LNDOTHHRTOT,10
GLOBAL,LNDOTHHITOT,10
GLOBAL,LNDOTHLRTOT,10
