REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBIOKENXX01,31.536
GLOBAL,PWRCCGKENXX00,31.536
GLOBAL,PWRCCGKENXX01,31.536
GLOBAL,PWRCOAKENXX01,31.536
GLOBAL,PWRCOGKENXX01,31.536
GLOBAL,PWRCSPKENXX01,31.536
GLOBAL,PWRGEOKENXX01,31.536
GLOBAL,PWRHYDKENXX01,31.536
GLOBAL,PWROCGKENXX00,31.536
GLOBAL,PWROCGKENXX01,31.536
GLOBAL,PWROILKENXX01,31.536
GLOBAL,PWROTHKENXX01,31.536
GLOBAL,PWRPETKENXX01,31.536
GLOBAL,PWRSPVKENXX01,31.536
GLOBAL,PWRTRNKENXX,31.536
GLOBAL,PWRURNKENXX01,31.536
GLOBAL,PWRWASKENXX01,31.536
GLOBAL,PWRWAVKENXX01,31.536
GLOBAL,PWRWOFKENXX01,31.536
GLOBAL,PWRWONKENXX01,31.536
GLOBAL,PWRTRNX01,31.536
