REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRHYDKENXX01,2020,4.02
GLOBAL,PWRHYDKENXX01,2021,4.02
GLOBAL,PWRHYDKENXX01,2022,4.02
GLOBAL,PWRHYDKENXX01,2023,4.02
GLOBAL,PWRHYDKENXX01,2024,4.02
GLOBAL,PWRHYDKENXX01,2025,4.02
GLOBAL,PWRHYDKENXX01,2026,4.02
GLOBAL,PWRHYDKENXX01,2027,4.02
GLOBAL,PWRHYDKENXX01,2028,4.02
GLOBAL,PWRHYDKENXX01,2029,4.02
GLOBAL,PWRHYDKENXX01,2030,4.02
GLOBAL,PWRHYDKENXX01,2031,4.02
GLOBAL,PWRHYDKENXX01,2032,4.02
GLOBAL,PWRHYDKENXX01,2033,4.02
GLOBAL,PWRHYDKENXX01,2034,4.02
GLOBAL,PWRHYDKENXX01,2035,4.02
GLOBAL,PWRHYDKENXX01,2036,4.02
GLOBAL,PWRHYDKENXX01,2037,4.02
GLOBAL,PWRHYDKENXX01,2038,4.02
GLOBAL,PWRHYDKENXX01,2039,4.02
GLOBAL,PWRHYDKENXX01,2040,4.02
GLOBAL,PWRCSPKENXX01,2020,976.3002
GLOBAL,PWRCSPKENXX01,2021,976.3002
GLOBAL,PWRCSPKENXX01,2022,976.3002
GLOBAL,PWRCSPKENXX01,2023,976.3002
GLOBAL,PWRCSPKENXX01,2024,976.3002
GLOBAL,PWRCSPKENXX01,2025,976.3002
GLOBAL,PWRCSPKENXX01,2026,976.3002
GLOBAL,PWRCSPKENXX01,2027,976.3002
GLOBAL,PWRCSPKENXX01,2028,976.3002
GLOBAL,PWRCSPKENXX01,2029,976.3002
GLOBAL,PWRCSPKENXX01,2030,976.3002
GLOBAL,PWRCSPKENXX01,2031,976.3002
GLOBAL,PWRCSPKENXX01,2032,976.3002
GLOBAL,PWRCSPKENXX01,2033,976.3002
GLOBAL,PWRCSPKENXX01,2034,976.3002
GLOBAL,PWRCSPKENXX01,2035,976.3002
GLOBAL,PWRCSPKENXX01,2036,976.3002
GLOBAL,PWRCSPKENXX01,2037,976.3002
GLOBAL,PWRCSPKENXX01,2038,976.3002
GLOBAL,PWRCSPKENXX01,2039,976.3002
GLOBAL,PWRCSPKENXX01,2040,976.3002
GLOBAL,PWRSPVKENXX01,2020,7519.7242
GLOBAL,PWRSPVKENXX01,2021,7519.7242
GLOBAL,PWRSPVKENXX01,2022,7519.7242
GLOBAL,PWRSPVKENXX01,2023,7519.7242
GLOBAL,PWRSPVKENXX01,2024,7519.7242
GLOBAL,PWRSPVKENXX01,2025,7519.7242
GLOBAL,PWRSPVKENXX01,2026,7519.7242
GLOBAL,PWRSPVKENXX01,2027,7519.7242
GLOBAL,PWRSPVKENXX01,2028,7519.7242
GLOBAL,PWRSPVKENXX01,2029,7519.7242
GLOBAL,PWRSPVKENXX01,2030,7519.7242
GLOBAL,PWRSPVKENXX01,2031,7519.7242
GLOBAL,PWRSPVKENXX01,2032,7519.7242
GLOBAL,PWRSPVKENXX01,2033,7519.7242
GLOBAL,PWRSPVKENXX01,2034,7519.7242
GLOBAL,PWRSPVKENXX01,2035,7519.7242
GLOBAL,PWRSPVKENXX01,2036,7519.7242
GLOBAL,PWRSPVKENXX01,2037,7519.7242
GLOBAL,PWRSPVKENXX01,2038,7519.7242
GLOBAL,PWRSPVKENXX01,2039,7519.7242
GLOBAL,PWRSPVKENXX01,2040,7519.7242
GLOBAL,PWRWOFKENXX01,2020,114.6002
GLOBAL,PWRWOFKENXX01,2021,114.6002
GLOBAL,PWRWOFKENXX01,2022,114.6002
GLOBAL,PWRWOFKENXX01,2023,114.6002
GLOBAL,PWRWOFKENXX01,2024,114.6002
GLOBAL,PWRWOFKENXX01,2025,114.6002
GLOBAL,PWRWOFKENXX01,2026,114.6002
GLOBAL,PWRWOFKENXX01,2027,114.6002
GLOBAL,PWRWOFKENXX01,2028,114.6002
GLOBAL,PWRWOFKENXX01,2029,114.6002
GLOBAL,PWRWOFKENXX01,2030,114.6002
GLOBAL,PWRWOFKENXX01,2031,114.6002
GLOBAL,PWRWOFKENXX01,2032,114.6002
GLOBAL,PWRWOFKENXX01,2033,114.6002
GLOBAL,PWRWOFKENXX01,2034,114.6002
GLOBAL,PWRWOFKENXX01,2035,114.6002
GLOBAL,PWRWOFKENXX01,2036,114.6002
GLOBAL,PWRWOFKENXX01,2037,114.6002
GLOBAL,PWRWOFKENXX01,2038,114.6002
GLOBAL,PWRWOFKENXX01,2039,114.6002
GLOBAL,PWRWOFKENXX01,2040,114.6002
GLOBAL,PWRWONKENXX01,2020,1251.4362
GLOBAL,PWRWONKENXX01,2021,1251.4362
GLOBAL,PWRWONKENXX01,2022,1251.4362
GLOBAL,PWRWONKENXX01,2023,1251.4362
GLOBAL,PWRWONKENXX01,2024,1251.4362
GLOBAL,PWRWONKENXX01,2025,1251.4362
GLOBAL,PWRWONKENXX01,2026,1251.4362
GLOBAL,PWRWONKENXX01,2027,1251.4362
GLOBAL,PWRWONKENXX01,2028,1251.4362
GLOBAL,PWRWONKENXX01,2029,1251.4362
GLOBAL,PWRWONKENXX01,2030,1251.4362
GLOBAL,PWRWONKENXX01,2031,1251.4362
GLOBAL,PWRWONKENXX01,2032,1251.4362
GLOBAL,PWRWONKENXX01,2033,1251.4362
GLOBAL,PWRWONKENXX01,2034,1251.4362
GLOBAL,PWRWONKENXX01,2035,1251.4362
GLOBAL,PWRWONKENXX01,2036,1251.4362
GLOBAL,PWRWONKENXX01,2037,1251.4362
GLOBAL,PWRWONKENXX01,2038,1251.4362
GLOBAL,PWRWONKENXX01,2039,1251.4362
GLOBAL,PWRWONKENXX01,2040,1251.4362
GLOBAL,PWRPETKENXX01,2020,0
GLOBAL,PWRPETKENXX01,2021,0
GLOBAL,PWRPETKENXX01,2022,0
GLOBAL,PWRPETKENXX01,2023,0
GLOBAL,PWRPETKENXX01,2024,0
GLOBAL,PWRPETKENXX01,2025,0
GLOBAL,PWRPETKENXX01,2026,0
GLOBAL,PWRPETKENXX01,2027,0
GLOBAL,PWRPETKENXX01,2028,0
GLOBAL,PWRPETKENXX01,2029,0
GLOBAL,PWRPETKENXX01,2030,0
GLOBAL,PWRPETKENXX01,2031,0
GLOBAL,PWRPETKENXX01,2032,0
GLOBAL,PWRPETKENXX01,2033,0
GLOBAL,PWRPETKENXX01,2034,0
GLOBAL,PWRPETKENXX01,2035,0
GLOBAL,PWRPETKENXX01,2036,0
GLOBAL,PWRPETKENXX01,2037,0
GLOBAL,PWRPETKENXX01,2038,0
GLOBAL,PWRPETKENXX01,2039,0
GLOBAL,PWRPETKENXX01,2040,0
