code,name_english,name_spanish,colour
BIO,Biomass,Biomasa,forestgreen
COA,Coal,Carbón,black
OCG,Open Cycle Gas,OCG,pink
SPV,Solar,SPV,gold
WON,Wind,WON,violet
CCG,Natural Gas,Gasolina,grey
CRU,Crude oil,Petróleo crudo,red
DSL,Diesel,Diésel,orange
ELC,Electricity,Electricidad,grey
GEO,Geothermal,Geotérmica,purple
GSL,Gasoline,Gasolina,orange
HFO,HFO,HFO,brown
HYD,Hydro,Hidro,blue
JFL,Jet fuel,Jet fuel,firebrick
LNG,LNG,LNG,purple
LPG,LPG,GLP,gold
PCK,Petroleum coke,Coque de petróleo,red
OHC,Oil products,Otros hidrocarburos,grey
PET,Petroleum products,Petroleum products,red
URN,Nuclear,Nuclear,grey
WAS,MSW,Residuos,green
WAT,Water,Agua,blue
LND,Land,Suelo,green
COW,Cowpeas,,red
BEA,Beans,,brown
MZE,Maize,,grey
SOR,Sorghum,,blue
TEA,Tea,,green
CP07,Vegetables and fruits,,purple
CP08,Rubber,,grey
CP09,Sweet potato,,green
CP10,Cashew,,violet
AGR,Agriculture,Tierras agrícolas,brown
BAR,Barren land,Tierra estéril,grey
FOR,Forests,Bosques,forestgreen
GRS,Grassland & woodland,Praderas y zonas boscosas,orange
BLT,Built-up land,Asentamientos,black
OTH,Other ,Otras tierras agrícolas,gold
PWR,Power sector,Centrales eléctricas,red
PUB,Public supply,Abastecimiento público,grey
EVT,Evapotranspiration,Evapotranspiración,green
PRC,Precipitation,Precipitación,blue
GRC,Groundwater recharge,Recarga de agua subterránea,orange
SUR,Surface water run-off,Agua superficial,red
IRR,Irrigation,Irrigación,brown
HI,High irrigated,,brown
HR,High rainfed,,pink
LI,Low irrigated,,blue
LR,Low rainfed,,orange
REN,Other renewables,Otras fuentes renovables,green
OIL,Oil,Petróleo,darkblue
SOR,Sorghum,Sorgo,purple
SOY,Soybean,Soya,firebrick
SGC,Sugarcane,Caña de azúcar,green
PAP,Potatoes,Papa,orange
TLD,Other crops,Otros cultivos,grey
KER,Kerosene,Kerosene,violet
RES,Residential,Residential,blue
TRA,Transport,Transport,gold
IND,Industry,Industry,grey
COM,Commercial & services,Commercial & services,green
ELC_IMP,Electricity imports,,pink
PWR_WAT,Power sector (consumptive use),,lightblue
PWR_WITH,Power sector (withdrawal),,darkblue
ELC_EXP,Electricity exports,,pink
ELC_NET,Net electricity imports,,pink
